Id,SalePrice
1461,123417.0
1462,158382.0
1463,183840.0
1464,201123.0
1465,189576.0
1466,172952.0
1467,176216.0
1468,165744.0
1469,186670.0
1470,123937.0
1471,190279.0
1472,96934.0
1473,97071.0
1474,148214.0
1475,116848.0
1476,371146.0
1477,249990.0
1478,279347.0
1479,279957.0
1480,536907.0
1481,333534.0
1482,206219.0
1483,171577.0
1484,163393.0
1485,181323.0
1486,195788.0
1487,330194.0
1488,242470.0
1489,202879.0
1490,236543.0
1491,190688.0
1492,94550.0
1493,183110.0
1494,288663.0
1495,282097.0
1496,235054.0
1497,178159.0
1498,165770.0
1499,161480.0
1500,155905.0
1501,174643.0
1502,145024.0
1503,302274.0
1504,243577.0
1505,229445.0
1506,186365.0
1507,261876.0
1508,201480.0
1509,158904.0
1510,146826.0
1511,146688.0
1512,173276.0
1513,150942.0
1514,162344.0
1515,192565.0
1516,148332.0
1517,165755.0
1518,129284.0
1519,218226.0
1520,132641.0
1521,135324.0
1522,172811.0
1523,116949.0
1524,124312.0
1525,125920.0
1526,114573.0
1527,104199.0
1528,137283.0
1529,151781.0
1530,185457.0
1531,99532.0
1532,95584.0
1533,149556.0
1534,120843.0
1535,150617.0
1536,107283.0
1537,60812.0
1538,156566.0
1539,186725.0
1540,91307.0
1541,140076.0
1542,143190.0
1543,197653.0
1544,82889.0
1545,114048.0
1546,131772.0
1547,134430.0
1548,135417.0
1549,115650.0
1550,135662.0
1551,105097.0
1552,143810.0
1553,151300.0
1554,121618.0
1555,166858.0
1556,86423.0
1557,106143.0
1558,97938.0
1559,66491.0
1560,123470.0
1561,138582.0
1562,132346.0
1563,124090.0
1564,156532.0
1565,149493.0
1566,238057.0
1567,76545.0
1568,229699.0
1569,137287.0
1570,138101.0
1571,113344.0
1572,145047.0
1573,240784.0
1574,116061.0
1575,226858.0
1576,248234.0
1577,188990.0
1578,141601.0
1579,143752.0
1580,192348.0
1581,154494.0
1582,127340.0
1583,320989.0
1584,222872.0
1585,140527.0
1586,68713.0
1587,98888.0
1588,154674.0
1589,101631.0
1590,134974.0
1591,94482.0
1592,114738.0
1593,123781.0
1594,139086.0
1595,107836.0
1596,234979.0
1597,185154.0
1598,206543.0
1599,163150.0
1600,158456.0
1601,64315.0
1602,118099.0
1603,71338.0
1604,263558.0
1605,242116.0
1606,171672.0
1607,164315.0
1608,214248.0
1609,186150.0
1610,155335.0
1611,136390.0
1612,168872.0
1613,166220.0
1614,127718.0
1615,87795.0
1616,73580.0
1617,91240.0
1618,128361.0
1619,142912.0
1620,167139.0
1621,138884.0
1622,140158.0
1623,279545.0
1624,209261.0
1625,119875.0
1626,166983.0
1627,191794.0
1628,277859.0
1629,176857.0
1630,367374.0
1631,219813.0
1632,237186.0
1633,172292.0
1634,187665.0
1635,173637.0
1636,153956.0
1637,203898.0
1638,181076.0
1639,183143.0
1640,266003.0
1641,179564.0
1642,231218.0
1643,216736.0
1644,234021.0
1645,204238.0
1646,160691.0
1647,158151.0
1648,130629.0
1649,141111.0
1650,116815.0
1651,124211.0
1652,97125.0
1653,103502.0
1654,144688.0
1655,145331.0
1656,143923.0
1657,148038.0
1658,144865.0
1659,125918.0
1660,157125.0
1661,447759.0
1662,407916.0
1663,381876.0
1664,531053.0
1665,306392.0
1666,323641.0
1667,381567.0
1668,331764.0
1669,292660.0
1670,343068.0
1671,264456.0
1672,480373.0
1673,284549.0
1674,238924.0
1675,191971.0
1676,188764.0
1677,221487.0
1678,507548.0
1679,401777.0
1680,344335.0
1681,240830.0
1682,301247.0
1683,180299.0
1684,171631.0
1685,171176.0
1686,168773.0
1687,170925.0
1688,189665.0
1689,194559.0
1690,190963.0
1691,181892.0
1692,257571.0
1693,167040.0
1694,181050.0
1695,166432.0
1696,267795.0
1697,172761.0
1698,344681.0
1699,317541.0
1700,246074.0
1701,266918.0
1702,249392.0
1703,245157.0
1704,284443.0
1705,234557.0
1706,455987.0
1707,217025.0
1708,206743.0
1709,271652.0
1710,220549.0
1711,267902.0
1712,271589.0
1713,275217.0
1714,221461.0
1715,203553.0
1716,182411.0
1717,170781.0
1718,133689.0
1719,203559.0
1720,237953.0
1721,164350.0
1722,121942.0
1723,155680.0
1724,213561.0
1725,237658.0
